2023-03-01:16:41:21,327, ACTION: RECEIVE, Logical Clock Time: [97, 0, 143], # of remaining messages: 0
2023-03-01:16:41:21,580, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [98, 0, 143]
2023-03-01:16:41:21,833, ACTION: RECEIVE, Logical Clock Time: [99, 0, 145], # of remaining messages: 0
2023-03-01:16:41:22,086, ACTION: RECEIVE, Logical Clock Time: [100, 0, 147], # of remaining messages: 0
2023-03-01:16:41:22,341, ACTION: RECEIVE, Logical Clock Time: [101, 0, 148], # of remaining messages: 0
2023-03-01:16:41:22,593, ACTION: RECEIVE, Logical Clock Time: [102, 0, 149], # of remaining messages: 0
2023-03-01:16:41:22,846, ACTION: RECEIVE, Logical Clock Time: [103, 0, 151], # of remaining messages: 0
2023-03-01:16:41:23,097, ACTION: RECEIVE, Logical Clock Time: [104, 0, 153], # of remaining messages: 0
2023-03-01:16:41:23,351, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [105, 0, 153]
2023-03-01:16:41:23,603, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [105, 0, 153]
2023-03-01:16:41:23,603, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [106, 0, 153]
2023-03-01:16:41:23,854, ACTION: INTERNAL, Logical Clock Time: [107, 0, 153]
2023-03-01:16:41:24,108, ACTION: RECEIVE, Logical Clock Time: [108, 0, 158], # of remaining messages: 0
2023-03-01:16:41:24,362, ACTION: RECEIVE, Logical Clock Time: [109, 0, 160], # of remaining messages: 0
2023-03-01:16:41:24,616, ACTION: RECEIVE, Logical Clock Time: [110, 0, 161], # of remaining messages: 1
2023-03-01:16:41:24,868, ACTION: RECEIVE, Logical Clock Time: [111, 0, 162], # of remaining messages: 0
2023-03-01:16:41:25,121, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [111, 0, 162]
2023-03-01:16:41:25,121, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [112, 0, 162]
2023-03-01:16:41:25,372, ACTION: INTERNAL, Logical Clock Time: [113, 0, 162]
2023-03-01:16:41:25,627, ACTION: RECEIVE, Logical Clock Time: [114, 0, 168], # of remaining messages: 0
2023-03-01:16:41:25,882, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [115, 0, 168]
2023-03-01:16:41:26,134, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [116, 0, 168]
2023-03-01:16:41:26,411, ACTION: INTERNAL, Logical Clock Time: [117, 0, 168]
2023-03-01:16:41:26,665, ACTION: RECEIVE, Logical Clock Time: [118, 0, 173], # of remaining messages: 0
2023-03-01:16:41:26,917, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [119, 0, 173]
2023-03-01:16:41:27,173, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [119, 0, 173]
2023-03-01:16:41:27,174, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [120, 0, 173]
2023-03-01:16:41:27,426, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [121, 0, 173]
2023-03-01:16:41:27,680, ACTION: RECEIVE, Logical Clock Time: [122, 0, 180], # of remaining messages: 0
2023-03-01:16:41:27,935, ACTION: RECEIVE, Logical Clock Time: [123, 0, 181], # of remaining messages: 0
2023-03-01:16:41:28,187, ACTION: RECEIVE, Logical Clock Time: [124, 0, 183], # of remaining messages: 0
2023-03-01:16:41:28,439, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [125, 0, 183]
2023-03-01:16:41:28,689, ACTION: RECEIVE, Logical Clock Time: [126, 0, 185], # of remaining messages: 0
2023-03-01:16:41:28,940, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [127, 0, 185]
2023-03-01:16:41:29,192, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [127, 0, 185]
2023-03-01:16:41:29,192, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [128, 0, 185]
2023-03-01:16:41:29,444, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [129, 0, 185]
2023-03-01:16:41:29,696, ACTION: RECEIVE, Logical Clock Time: [130, 0, 191], # of remaining messages: 1
2023-03-01:16:41:29,950, ACTION: RECEIVE, Logical Clock Time: [131, 0, 192], # of remaining messages: 0
2023-03-01:16:41:30,202, ACTION: RECEIVE, Logical Clock Time: [132, 0, 194], # of remaining messages: 0
2023-03-01:16:41:30,454, ACTION: RECEIVE, Logical Clock Time: [133, 0, 196], # of remaining messages: 0
2023-03-01:16:41:30,708, ACTION: RECEIVE, Logical Clock Time: [134, 0, 198], # of remaining messages: 0
2023-03-01:16:41:30,963, ACTION: RECEIVE, Logical Clock Time: [135, 0, 199], # of remaining messages: 0
2023-03-01:16:41:31,215, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [136, 0, 199]
2023-03-01:16:41:31,469, ACTION: INTERNAL, Logical Clock Time: [137, 0, 199]
2023-03-01:16:41:31,723, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [137, 0, 199]
2023-03-01:16:41:31,724, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [138, 0, 199]
2023-03-01:16:41:31,977, ACTION: INTERNAL, Logical Clock Time: [139, 0, 199]
2023-03-01:16:41:32,240, ACTION: RECEIVE, Logical Clock Time: [140, 0, 206], # of remaining messages: 0
2023-03-01:16:41:32,494, ACTION: RECEIVE, Logical Clock Time: [141, 0, 207], # of remaining messages: 1
2023-03-01:16:41:32,750, ACTION: RECEIVE, Logical Clock Time: [142, 0, 208], # of remaining messages: 0
2023-03-01:16:41:33,020, ACTION: RECEIVE, Logical Clock Time: [143, 0, 211], # of remaining messages: 0
2023-03-01:16:41:33,271, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [144, 0, 211]
2023-03-01:16:41:33,525, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [145, 0, 211]
2023-03-01:16:41:33,777, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [146, 0, 211]
2023-03-01:16:41:34,031, ACTION: RECEIVE, Logical Clock Time: [147, 0, 217], # of remaining messages: 0
2023-03-01:16:41:34,285, ACTION: RECEIVE, Logical Clock Time: [148, 0, 218], # of remaining messages: 0
2023-03-01:16:41:34,536, ACTION: RECEIVE, Logical Clock Time: [149, 0, 219], # of remaining messages: 0
2023-03-01:16:41:34,787, ACTION: INTERNAL, Logical Clock Time: [150, 0, 219]
2023-03-01:16:41:35,037, ACTION: RECEIVE, Logical Clock Time: [151, 0, 222], # of remaining messages: 1
2023-03-01:16:41:35,291, ACTION: RECEIVE, Logical Clock Time: [152, 0, 223], # of remaining messages: 0
2023-03-01:16:41:35,542, ACTION: RECEIVE, Logical Clock Time: [153, 0, 225], # of remaining messages: 0
2023-03-01:16:41:35,795, ACTION: RECEIVE, Logical Clock Time: [154, 0, 227], # of remaining messages: 0
2023-03-01:16:41:36,046, ACTION: RECEIVE, Logical Clock Time: [155, 0, 229], # of remaining messages: 0
2023-03-01:16:41:36,301, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [155, 0, 229]
2023-03-01:16:41:36,302, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [156, 0, 229]
2023-03-01:16:41:36,557, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [156, 0, 229]
2023-03-01:16:41:36,558, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [157, 0, 229]
2023-03-01:16:41:36,812, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [157, 0, 229]
2023-03-01:16:41:36,813, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [158, 0, 229]
2023-03-01:16:41:37,067, ACTION: RECEIVE, Logical Clock Time: [159, 0, 235], # of remaining messages: 0
2023-03-01:16:41:37,319, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [160, 0, 235]
2023-03-01:16:41:37,570, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [160, 0, 235]
2023-03-01:16:41:37,570, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [161, 0, 235]
2023-03-01:16:41:37,821, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [162, 0, 235]
2023-03-01:16:41:38,072, ACTION: RECEIVE, Logical Clock Time: [163, 0, 240], # of remaining messages: 0
2023-03-01:16:41:38,328, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [164, 0, 240]
2023-03-01:16:41:38,582, ACTION: RECEIVE, Logical Clock Time: [165, 0, 243], # of remaining messages: 1
2023-03-01:16:41:38,836, ACTION: RECEIVE, Logical Clock Time: [166, 0, 244], # of remaining messages: 0
2023-03-01:16:41:39,089, ACTION: RECEIVE, Logical Clock Time: [167, 0, 246], # of remaining messages: 0
2023-03-01:16:41:39,343, ACTION: RECEIVE, Logical Clock Time: [168, 0, 248], # of remaining messages: 0
2023-03-01:16:41:39,598, ACTION: RECEIVE, Logical Clock Time: [169, 0, 249], # of remaining messages: 0
2023-03-01:16:41:39,851, ACTION: RECEIVE, Logical Clock Time: [170, 0, 251], # of remaining messages: 0
2023-03-01:16:41:40,102, ACTION: RECEIVE, Logical Clock Time: [171, 0, 252], # of remaining messages: 0
2023-03-01:16:41:40,357, ACTION: RECEIVE, Logical Clock Time: [172, 0, 254], # of remaining messages: 0
2023-03-01:16:41:40,610, ACTION: RECEIVE, Logical Clock Time: [173, 0, 256], # of remaining messages: 0
2023-03-01:16:41:40,865, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [174, 0, 256]
2023-03-01:16:41:41,119, ACTION: RECEIVE, Logical Clock Time: [175, 0, 258], # of remaining messages: 1
2023-03-01:16:41:41,370, ACTION: RECEIVE, Logical Clock Time: [176, 0, 259], # of remaining messages: 1
2023-03-01:16:41:41,623, ACTION: RECEIVE, Logical Clock Time: [177, 0, 260], # of remaining messages: 1
2023-03-01:16:41:41,875, ACTION: RECEIVE, Logical Clock Time: [178, 0, 261], # of remaining messages: 0
2023-03-01:16:41:42,127, ACTION: RECEIVE, Logical Clock Time: [179, 0, 265], # of remaining messages: 0
2023-03-01:16:41:42,380, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [180, 0, 265]
2023-03-01:16:41:42,631, ACTION: RECEIVE, Logical Clock Time: [181, 0, 268], # of remaining messages: 0
2023-03-01:16:41:42,884, ACTION: INTERNAL, Logical Clock Time: [182, 0, 268]
2023-03-01:16:41:43,135, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [182, 0, 268]
2023-03-01:16:41:43,135, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [183, 0, 268]
2023-03-01:16:41:43,388, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [183, 0, 268]
2023-03-01:16:41:43,389, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [184, 0, 268]
2023-03-01:16:41:43,644, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [185, 0, 268]
2023-03-01:16:41:43,895, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [186, 0, 268]
2023-03-01:16:41:44,147, ACTION: INTERNAL, Logical Clock Time: [187, 0, 268]
2023-03-01:16:41:44,401, ACTION: RECEIVE, Logical Clock Time: [188, 0, 277], # of remaining messages: 0
2023-03-01:16:41:44,652, ACTION: RECEIVE, Logical Clock Time: [189, 0, 279], # of remaining messages: 0
2023-03-01:16:41:44,903, ACTION: RECEIVE, Logical Clock Time: [190, 0, 280], # of remaining messages: 0
2023-03-01:16:41:45,157, ACTION: RECEIVE, Logical Clock Time: [191, 0, 282], # of remaining messages: 0
2023-03-01:16:41:45,407, ACTION: RECEIVE, Logical Clock Time: [192, 0, 283], # of remaining messages: 1
2023-03-01:16:41:45,660, ACTION: RECEIVE, Logical Clock Time: [193, 0, 284], # of remaining messages: 0
2023-03-01:16:41:45,912, ACTION: RECEIVE, Logical Clock Time: [194, 0, 286], # of remaining messages: 1
2023-03-01:16:41:46,165, ACTION: RECEIVE, Logical Clock Time: [195, 0, 287], # of remaining messages: 0
2023-03-01:16:41:46,420, ACTION: RECEIVE, Logical Clock Time: [196, 0, 290], # of remaining messages: 0
2023-03-01:16:41:46,671, ACTION: RECEIVE, Logical Clock Time: [197, 0, 291], # of remaining messages: 0
2023-03-01:16:41:46,926, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [198, 0, 291]
